,STATION,DATE,TIME,ENTRIES,EXITS
0,1 AV,04/13/2019,0,0.0,0.0
42,14 ST,04/13/2019,0,0.0,0.0
84,14 ST-UNION SQ,04/13/2019,0,0.0,0.0
126,3 AV,04/13/2019,0,0.0,0.0
168,6 AV,04/13/2019,0,0.0,0.0
210,8 AV,04/13/2019,0,0.0,0.0
252,ATLANTIC AV,04/13/2019,0,0.0,0.0
294,BEDFORD AV,04/13/2019,0,0.0,0.0
336,BROADWAY JCT,04/13/2019,0,0.0,0.0
378,BUSHWICK AV,04/13/2019,0,0.0,0.0
420,CANARSIE-ROCKAW,04/13/2019,0,0.0,0.0
462,DEKALB AV,04/13/2019,0,0.0,0.0
504,EAST 105 ST,04/13/2019,0,0.0,0.0
546,GRAHAM AV,04/13/2019,0,0.0,0.0
588,GRAND ST,04/13/2019,0,0.0,0.0
630,HALSEY ST,04/13/2019,0,0.0,0.0
672,JEFFERSON ST,04/13/2019,0,0.0,0.0
714,LIVONIA AV,04/13/2019,0,0.0,0.0
756,LORIMER ST,04/13/2019,0,0.0,0.0
798,METROPOLITAN AV,04/13/2019,0,0.0,0.0
840,MONTROSE AV,04/13/2019,0,0.0,0.0
882,MORGAN AV,04/13/2019,0,0.0,0.0
924,MYRTLE-WYCKOFF,04/13/2019,0,0.0,0.0
966,NEW LOTS,04/13/2019,0,0.0,0.0
1008,SUTTER AV,04/13/2019,0,0.0,0.0
1050,WILSON AV,04/13/2019,0,0.0,0.0
1,1 AV,04/13/2019,1,915.0,732.0
43,14 ST,04/13/2019,1,1769.0,901.0
85,14 ST-UNION SQ,04/13/2019,1,1895.0,902.0
127,3 AV,04/13/2019,1,408.0,186.0
169,6 AV,04/13/2019,1,8.0,65.0
211,8 AV,04/13/2019,1,861.0,220.0
253,ATLANTIC AV,04/13/2019,1,15.0,20.0
295,BEDFORD AV,04/13/2019,1,1140.0,923.0
337,BROADWAY JCT,04/13/2019,1,252.0,801.0
379,BUSHWICK AV,04/13/2019,1,17.0,127.0
421,CANARSIE-ROCKAW,04/13/2019,1,157.0,113.0
463,DEKALB AV,04/13/2019,1,138.0,158.0
505,EAST 105 ST,04/13/2019,1,42.0,114.0
547,GRAHAM AV,04/13/2019,1,252.0,312.0
589,GRAND ST,04/13/2019,1,128.0,239.0
631,HALSEY ST,04/13/2019,1,171.0,435.0
673,JEFFERSON ST,04/13/2019,1,497.0,118.0
715,LIVONIA AV,04/13/2019,1,31.0,56.0
757,LORIMER ST,04/13/2019,1,93.0,40.0
799,METROPOLITAN AV,04/13/2019,1,241.0,297.0
841,MONTROSE AV,04/13/2019,1,181.0,353.0
883,MORGAN AV,04/13/2019,1,240.0,284.0
925,MYRTLE-WYCKOFF,04/13/2019,1,311.0,1081.0
967,NEW LOTS,04/13/2019,1,88.0,199.0
1009,SUTTER AV,04/13/2019,1,59.0,130.0
1051,WILSON AV,04/13/2019,1,82.0,338.0
2,1 AV,04/13/2019,2,395.0,749.0
44,14 ST,04/13/2019,2,935.0,1680.0
86,14 ST-UNION SQ,04/13/2019,2,2080.0,5437.0
128,3 AV,04/13/2019,2,81.0,161.0
170,6 AV,04/13/2019,2,6.0,87.0
212,8 AV,04/13/2019,2,572.0,888.0
254,ATLANTIC AV,04/13/2019,2,73.0,20.0
296,BEDFORD AV,04/13/2019,2,530.0,526.0
338,BROADWAY JCT,04/13/2019,2,987.0,533.0
380,BUSHWICK AV,04/13/2019,2,140.0,65.0
422,CANARSIE-ROCKAW,04/13/2019,2,1198.0,123.0
464,DEKALB AV,04/13/2019,2,672.0,92.0
506,EAST 105 ST,04/13/2019,2,335.0,190.0
548,GRAHAM AV,04/13/2019,2,247.0,183.0
590,GRAND ST,04/13/2019,2,280.0,257.0
632,HALSEY ST,04/13/2019,2,635.0,158.0
674,JEFFERSON ST,04/13/2019,2,417.0,58.0
716,LIVONIA AV,04/13/2019,2,291.0,183.0
758,LORIMER ST,04/13/2019,2,284.0,54.0
800,METROPOLITAN AV,04/13/2019,2,520.0,490.0
842,MONTROSE AV,04/13/2019,2,308.0,181.0
884,MORGAN AV,04/13/2019,2,298.0,176.0
926,MYRTLE-WYCKOFF,04/13/2019,2,2467.0,478.0
968,NEW LOTS,04/13/2019,2,453.0,250.0
1010,SUTTER AV,04/13/2019,2,370.0,170.0
1052,WILSON AV,04/13/2019,2,247.0,114.0
3,1 AV,04/13/2019,3,2166.0,2693.0
45,14 ST,04/13/2019,3,4114.0,7453.0
87,14 ST-UNION SQ,04/13/2019,3,11046.0,18472.0
129,3 AV,04/13/2019,3,439.0,942.0
171,6 AV,04/13/2019,3,3.0,420.0
213,8 AV,04/13/2019,3,2575.0,3413.0
255,ATLANTIC AV,04/13/2019,3,118.0,33.0
297,BEDFORD AV,04/13/2019,3,3624.0,3520.0
339,BROADWAY JCT,04/13/2019,3,1953.0,1284.0
381,BUSHWICK AV,04/13/2019,3,431.0,101.0
423,CANARSIE-ROCKAW,04/13/2019,3,1063.0,206.0
465,DEKALB AV,04/13/2019,3,1755.0,255.0
507,EAST 105 ST,04/13/2019,3,398.0,283.0
549,GRAHAM AV,04/13/2019,3,1456.0,595.0
591,GRAND ST,04/13/2019,3,857.0,748.0
633,HALSEY ST,04/13/2019,3,1486.0,342.0
675,JEFFERSON ST,04/13/2019,3,1212.0,323.0
717,LIVONIA AV,04/13/2019,3,314.0,301.0
759,LORIMER ST,04/13/2019,3,1109.0,218.0
801,METROPOLITAN AV,04/13/2019,3,1495.0,920.0
843,MONTROSE AV,04/13/2019,3,1209.0,477.0
885,MORGAN AV,04/13/2019,3,1174.0,434.0
927,MYRTLE-WYCKOFF,04/13/2019,3,5314.0,1128.0
969,NEW LOTS,04/13/2019,3,399.0,317.0
1011,SUTTER AV,04/13/2019,3,408.0,201.0
1053,WILSON AV,04/13/2019,3,986.0,235.0
4,1 AV,04/13/2019,4,4484.0,4485.0
46,14 ST,04/13/2019,4,9972.0,9735.0
88,14 ST-UNION SQ,04/13/2019,4,24205.0,23907.0
130,3 AV,04/13/2019,4,1277.0,1461.0
172,6 AV,04/13/2019,4,208.0,547.0
214,8 AV,04/13/2019,4,6184.0,4194.0
256,ATLANTIC AV,04/13/2019,4,135.0,63.0
298,BEDFORD AV,04/13/2019,4,8821.0,8501.0
340,BROADWAY JCT,04/13/2019,4,2061.0,2053.0
382,BUSHWICK AV,04/13/2019,4,448.0,228.0
424,CANARSIE-ROCKAW,04/13/2019,4,1237.0,311.0
466,DEKALB AV,04/13/2019,4,1905.0,381.0
508,EAST 105 ST,04/13/2019,4,425.0,398.0
550,GRAHAM AV,04/13/2019,4,1857.0,952.0
592,GRAND ST,04/13/2019,4,1229.0,894.0
634,HALSEY ST,04/13/2019,4,1400.0,693.0
676,JEFFERSON ST,04/13/2019,4,1868.0,409.0
718,LIVONIA AV,04/13/2019,4,316.0,314.0
760,LORIMER ST,04/13/2019,4,1149.0,301.0
802,METROPOLITAN AV,04/13/2019,4,1938.0,1685.0
844,MONTROSE AV,04/13/2019,4,1661.0,712.0
886,MORGAN AV,04/13/2019,4,2092.0,836.0
928,MYRTLE-WYCKOFF,04/13/2019,4,5362.0,2042.0
970,NEW LOTS,04/13/2019,4,481.0,545.0
1012,SUTTER AV,04/13/2019,4,461.0,343.0
1054,WILSON AV,04/13/2019,4,928.0,547.0
5,1 AV,04/13/2019,5,4348.0,5799.0
47,14 ST,04/13/2019,5,11532.0,8728.0
89,14 ST-UNION SQ,04/13/2019,5,23980.0,18435.0
131,3 AV,04/13/2019,5,1578.0,1811.0
173,6 AV,04/13/2019,5,147.0,584.0
215,8 AV,04/13/2019,5,7251.0,3310.0
257,ATLANTIC AV,04/13/2019,5,109.0,55.0
299,BEDFORD AV,04/13/2019,5,12291.0,6436.0
341,BROADWAY JCT,04/13/2019,5,1714.0,2767.0
383,BUSHWICK AV,04/13/2019,5,323.0,318.0
425,CANARSIE-ROCKAW,04/13/2019,5,951.0,327.0
467,DEKALB AV,04/13/2019,5,1345.0,503.0
509,EAST 105 ST,04/13/2019,5,305.0,443.0
551,GRAHAM AV,04/13/2019,5,1607.0,1382.0
593,GRAND ST,04/13/2019,5,1046.0,1085.0
635,HALSEY ST,04/13/2019,5,1010.0,1144.0
677,JEFFERSON ST,04/13/2019,5,1705.0,368.0
719,LIVONIA AV,04/13/2019,5,245.0,325.0
761,LORIMER ST,04/13/2019,5,1033.0,338.0
803,METROPOLITAN AV,04/13/2019,5,1834.0,1880.0
845,MONTROSE AV,04/13/2019,5,1477.0,972.0
887,MORGAN AV,04/13/2019,5,1750.0,908.0
929,MYRTLE-WYCKOFF,04/13/2019,5,3528.0,3036.0
971,NEW LOTS,04/13/2019,5,351.0,645.0
1013,SUTTER AV,04/13/2019,5,335.0,431.0
1055,WILSON AV,04/13/2019,5,639.0,924.0
6,1 AV,04/14/2019,0,3640.0,4158.0
48,14 ST,04/14/2019,0,6905.0,4180.0
90,14 ST-UNION SQ,04/14/2019,0,13681.0,6248.0
132,3 AV,04/14/2019,0,1359.0,1193.0
174,6 AV,04/14/2019,0,109.0,298.0
216,8 AV,04/14/2019,0,4002.0,1707.0
258,ATLANTIC AV,04/14/2019,0,59.0,99.0
300,BEDFORD AV,04/14/2019,0,5513.0,4052.0
342,BROADWAY JCT,04/14/2019,0,929.0,2042.0
